,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count
1737,1592349107250941955,Andrew and Ency seem like a great match but ugh I hate that it had to be at Jessenia’s expense 😭 #BachelorInParadise,Andrew and Ency seem like a great match but ugh I hate that it had to be at Jessenia s expense BachelorInParadise,2022-11-15 02:49:46+00:00,Twitter for iPhone,1,0,25,0
1738,1592349105359319040,"That being said, I absolutely feel for Jessenia. 😔
 #BachelorInParadise",That being said I absolutely feel for Jessenia BachelorInParadise,2022-11-15 02:49:45+00:00,Twitter for iPhone,5,3,248,0
1739,1592349079342026753,"Can we officially retire calling ANYONE under the age of thirty-five a cougar!?

#bip #BachelorInParadise #wyatr @annahossnieh @ArdenMyrin #bachelorinparadiseabc",Can we officially retire calling ANYONE under the age of thirty five a cougar bip BachelorInParadise wyatr bachelorinparadiseabc,2022-11-15 02:49:39+00:00,Twitter for Android,1,4,25,0
1740,1592349079002316803,Jessenia can’t catch a break on this show #BachelorInParadise https://t.co/n3VG7l7Iun,Jessenia can t catch a break on this show BachelorInParadise,2022-11-15 02:49:39+00:00,Twitter for iPhone,1,0,17,0
1741,1592349077781766144,"Jessenia in other words, you kinda boring  #BachelorInParadise",Jessenia in other words you kinda boring BachelorInParadise,2022-11-15 02:49:39+00:00,Twitter for iPhone,0,0,7,0
1742,1592349060287320064,"Jessenia: I just feel so bad for her, she’s gonna have a hard time getting him to open up
Andrew:
 #BachelorInParadise https://t.co/KXA4pKcUEN",Jessenia I just feel so bad for her she s gonna have a hard time getting him to open up Andrew BachelorInParadise,2022-11-15 02:49:35+00:00,Twitter Web App,0,0,25,0
1743,1592349057544253440,"Y’all watch the bachelor in paradise for the drama…
I watch it for the random footage of animals doing stuff…
We’re not the same….🦎🦀#BachelorInParadise #bachelorinparadiseabc",Y all watch the bachelor in paradise for the drama I watch it for the random footage of animals doing stuff We re not the same BachelorInParadise bachelorinparadiseabc,2022-11-15 02:49:34+00:00,Twitter for iPhone,0,0,5,0
1744,1592349049151447040,What’s worse “it’s not you it’s me” or “you deserve more than me” #BachelorInParadise,What s worse it s not you it s me or you deserve more than me BachelorInParadise,2022-11-15 02:49:32+00:00,Twitter for iPhone,1,0,2,0
1745,1592349021661990912,Cannot wait to watch #bachelorinparadise after this. Still confused why the two biggest shows are on at the same time. #dwts as in they air at same time live regardless of time zone,Cannot wait to watch bachelorinparadise after this Still confused why the two biggest shows are on at the same time dwts as in they air at same time live regardless of time zone,2022-11-15 02:49:25+00:00,Twitter for iPhone,2,3,50,0
1746,1592348995145596928,Aw Andrew brought the British accent back for a second 🥲 #BachelorInParadise,Aw Andrew brought the British accent back for a second BachelorInParadise,2022-11-15 02:49:19+00:00,Twitter for Android,0,0,1,0
1747,1592348990825459713,"I never felt that ""connection spark"" between Andrew and Jessenia anyway. They were just coasting along. Barely got air time together. Poor tink.  #BachelorInParadise",I never felt that connection spark between Andrew and Jessenia anyway They were just coasting along Barely got air time together Poor tink BachelorInParadise,2022-11-15 02:49:18+00:00,Twitter for Android,1,0,20,0
1748,1592348988967071744,"@kellykeegs @BarstoolTrent they are really killing Andrew with this can't swim bit, made sure to show him in the pool with a tube since Aaron isn't around to help him float #BachelorInParadise",they are really killing Andrew with this can t swim bit made sure to show him in the pool with a tube since Aaron isn t around to help him float BachelorInParadise,2022-11-15 02:49:18+00:00,Twitter for Android,0,0,2,0
1749,1592348987113496576,andrew literally knew where ency lived?? #BachelorInParadise,andrew literally knew where ency lived BachelorInParadise,2022-11-15 02:49:17+00:00,Twitter for iPhone,0,0,3,0
1750,1592348965521227776,"Men really love anything new and shiny don’t they. 

#BachelorInParadise",Men really love anything new and shiny don t they BachelorInParadise,2022-11-15 02:49:12+00:00,Twitter for iPhone,1,0,39,0
1751,1592348962270216192,Poor Jessenia. Unrequited feelings suck ass. Poor baby girl ugh #BachelorInParadise,Poor Jessenia Unrequited feelings suck ass Poor baby girl ugh BachelorInParadise,2022-11-15 02:49:11+00:00,Twitter for iPhone,0,0,10,0
