,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count
10836,1579989807241232384,genevieve none of this is your business #bachelorinparadise https://t.co/OnMqgMy0IW,genevieve none of this is your business bachelorinparadise,2022-10-12 00:18:19+00:00,Twitter for iPhone,1,0,9,0
10837,1579989806675021824,Salley Mae talking to Genevieve and Shanae right now #BachelorInParadise #BIP https://t.co/FPiQbqFH9V,Salley Mae talking to Genevieve and Shanae right now BachelorInParadise BIP,2022-10-12 00:18:19+00:00,Twitter for iPhone,1,0,27,0
10838,1579989802845626368,"actually Salley, I would prefer you to roast each of the contestants #BachelorInParadise",actually Salley I would prefer you to roast each of the contestants BachelorInParadise,2022-10-12 00:18:18+00:00,Twitter for iPhone,0,0,5,0
10839,1579989800848859139,"Salley didn't set Salley up.
Wells set Salley up with his stupid story time 
#BachelorInParadise",Salley didn t set Salley up Wells set Salley up with his stupid story time BachelorInParadise,2022-10-12 00:18:17+00:00,Tweetbot for iΟS,0,0,15,0
10840,1579989799271735296,completely forgot Romeo was still here til he slithered out of the shadows just now lmaooo. #BachelorInParadise,completely forgot Romeo was still here til he slithered out of the shadows just now lmaooo BachelorInParadise,2022-10-12 00:18:17+00:00,Twitter for iPhone,0,0,17,0
10841,1579989796113780737,"Can’t lie, Salley is kinda iconic, love her xx #bachelorinparadise",Can t lie Salley is kinda iconic love her xx bachelorinparadise,2022-10-12 00:18:16+00:00,Twitter for iPhone,0,0,6,0
10842,1579989794746425344,Sooo salley missed three flights bc of work or she missed them bc she didn’t know if she wanted to come? #BachelorInParadise,Sooo salley missed three flights bc of work or she missed them bc she didn t know if she wanted to come BachelorInParadise,2022-10-12 00:18:16+00:00,Twitter for iPhone,2,0,4,0
10843,1579989789708648448,Why are they all ganging up on Salley? This drama is so clearly being manufactured by producers. #BachelorInParadise,Why are they all ganging up on Salley This drama is so clearly being manufactured by producers BachelorInParadise,2022-10-12 00:18:15+00:00,Twitter for iPhone,1,0,17,0
10844,1579989789348356097,Which is it Salley? You missed the flights due to work or because you didn't want to be judged on the beach? She admitted to both. Confusing. #bachelorinparadise,Which is it Salley You missed the flights due to work or because you didn t want to be judged on the beach She admitted to both Confusing bachelorinparadise,2022-10-12 00:18:15+00:00,Twitter Web App,1,0,7,0
10845,1579989782490681345,Why do these girls care if Salley was with her ex prior. Are you not at the beach to met your own man? Who cares  #BachelorInParadise,Why do these girls care if Salley was with her ex prior Are you not at the beach to met your own man Who cares BachelorInParadise,2022-10-12 00:18:13+00:00,Twitter for iPhone,1,0,40,0
